597 [0x7f9b384862d9] SYS_brk(0)                                                                                                                                                                        = 0x557dd2624000
597 [0x7f9b38487105] SYS_stat("/home/halushko/Projects/libso/tls/haswell/x86_64", 0x7ffee0c5b9a0)                                                                                                      = -2
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b3b0, 4)                                                                                                                                                  = 77
597 [0x7f9b384871e0] SYS_openat(-100, 0x7ffee0c5b8d0, 0x80000, 0)                                                                                                                                      = -2
597 [0x7f9b38487105] SYS_stat("/home/halushko/Projects/libso/tls/haswell", 0x7ffee0c5b9a0)                                                                                                             = -2
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b3b0, 4)                                                                                                                                                  = 76
597 [0x7f9b384871e0] SYS_openat(-100, 0x7ffee0c5b8d0, 0x80000, 0)                                                                                                                                      = -2
597 [0x7f9b38487105] SYS_stat("/home/halushko/Projects/libso/tls/x86_64", 0x7ffee0c5b9a0)                                                                                                              = -2
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b3b0, 4)                                                                                                                                                  = 69
597 [0x7f9b384871e0] SYS_openat(-100, 0x7ffee0c5b8d0, 0x80000, 0)                                                                                                                                      = -2
597 [0x7f9b38487105] SYS_stat("/home/halushko/Projects/libso/tls", 0x7ffee0c5b9a0)                                                                                                                     = -2
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b3b0, 4)                                                                                                                                                  = 80
597 [0x7f9b384871e0] SYS_openat(-100, 0x7ffee0c5b8d0, 0x80000, 0)                                                                                                                                      = -2
597 [0x7f9b38487105] SYS_stat("/home/halushko/Projects/libso/haswell/x86_64", 0x7ffee0c5b9a0)                                                                                                          = -2
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b3b0, 4)                                                                                                                                                  = 73
597 [0x7f9b384871e0] SYS_openat(-100, 0x7ffee0c5b8d0, 0x80000, 0)                                                                                                                                      = -2
597 [0x7f9b38487105] SYS_stat("/home/halushko/Projects/libso/haswell", 0x7ffee0c5b9a0)                                                                                                                 = -2
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b3b0, 4)                                                                                                                                                  = 72
597 [0x7f9b384871e0] SYS_openat(-100, 0x7ffee0c5b8d0, 0x80000, 0)                                                                                                                                      = -2
597 [0x7f9b38487105] SYS_stat("/home/halushko/Projects/libso/x86_64", 0x7ffee0c5b9a0)                                                                                                                  = -2
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b3b0, 4)                                                                                                                                                  = 65
597 [0x7f9b384871e0] SYS_openat(-100, 0x7ffee0c5b8d0, 0x80000, 0)                                                                                                                                      = 5
597 [0x7f9b38487237] SYS_read(5, "\177ELF\002\001\001", 832)                                                                                                                                           = 832
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b570, 2)                                                                                                                                                  = 13
597 [0x7f9b38487142] SYS_fstat(5, 0x7ffee0c5b9a0)                                                                                                                                                      = 0
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b400, 6)                                                                                                                                                  = 52
597 [0x7f9b38487403] SYS_mmap(0, 8192, 3, 34)                                                                                                                                                          = 0x7f9b3868f000
597 [0x7f9b38487403] SYS_mmap(0, 0x201000, 5, 2050)                                                                                                                                                    = 0x7f9b38269000
597 [0x7f9b384874d7] SYS_mprotect(0x7f9b3826a000, 2093056, 0)                                                                                                                                          = 0
597 [0x7f9b38487403] SYS_mmap(0x7f9b38469000, 4096, 3, 2066)                                                                                                                                           = 0x7f9b38469000
597 [0x7f9b3848739a] SYS_close(5)                                                                                                                                                                      = 0
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b3c0, 18)                                                                                                                                                 = 203
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b540, 12)                                                                                                                                                 = 68
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b540, 6)                                                                                                                                                  = 51
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b340, 2)                                                                                                                                                  = 25
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b340, 1)                                                                                                                                                  = 29
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b340, 3)                                                                                                                                                  = 20
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b380, 4)                                                                                                                                                  = 67
597 [0x7f9b384871e0] SYS_openat(-100, 0x7ffee0c5b8a0, 0x80000, 0)                                                                                                                                      = -2
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b4b0, 4)                                                                                                                                                  = 43
597 [0x7f9b384871e0] SYS_openat(-100, 0x7f9b3848ba59, 0x80000, 0)                                                                                                                                      = 5
597 [0x7f9b38487142] SYS_fstat(5, 0x7ffee0c5b910)                                                                                                                                                      = 0
597 [0x7f9b38487403] SYS_mmap(0, 0x3dfd2, 1, 2)                                                                                                                                                        = 0x7f9b38651000
597 [0x7f9b3848739a] SYS_close(5)                                                                                                                                                                      = 0
597 [0x7f9b384872ca] SYS_access("/etc/ld.so.nohwcap", 00)                                                                                                                                              = -2
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b4b0, 4)                                                                                                                                                  = 59
597 [0x7f9b384871e0] SYS_openat(-100, 0x7f9b3868f4d0, 0x80000, 0)                                                                                                                                      = 5
597 [0x7f9b38487237] SYS_read(5, "\177ELF\002\001\001", 832)                                                                                                                                           = 832
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b540, 2)                                                                                                                                                  = 13
597 [0x7f9b38487142] SYS_fstat(5, 0x7ffee0c5b970)                                                                                                                                                      = 0
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b3d0, 6)                                                                                                                                                  = 54
597 [0x7f9b38487403] SYS_mmap(0, 0x203110, 5, 2050)                                                                                                                                                    = 0x7f9b38065000
597 [0x7f9b384874d7] SYS_mprotect(0x7f9b38068000, 2093056, 0)                                                                                                                                          = 0
597 [0x7f9b38487403] SYS_mmap(0x7f9b38267000, 8192, 3, 2066)                                                                                                                                           = 0x7f9b38267000
597 [0x7f9b3848739a] SYS_close(5)                                                                                                                                                                      = 0
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b390, 18)                                                                                                                                                 = 203
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b510, 12)                                                                                                                                                 = 67
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b510, 6)                                                                                                                                                  = 50
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b310, 2)                                                                                                                                                  = 25
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b310, 1)                                                                                                                                                  = 29
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b310, 3)                                                                                                                                                  = 20
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b350, 4)                                                                                                                                                  = 66
597 [0x7f9b384871e0] SYS_openat(-100, 0x7ffee0c5b870, 0x80000, 0)                                                                                                                                      = -2
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b480, 4)                                                                                                                                                  = 43
597 [0x7f9b384872ca] SYS_access("/etc/ld.so.nohwcap", 00)                                                                                                                                              = -2
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b480, 4)                                                                                                                                                  = 58
597 [0x7f9b384871e0] SYS_openat(-100, 0x7f9b3868f9d0, 0x80000, 0)                                                                                                                                      = 5
597 [0x7f9b38487237] SYS_read(5, "\177ELF\002\001\001\003", 832)                                                                                                                                       = 832
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b510, 2)                                                                                                                                                  = 13
597 [0x7f9b38487142] SYS_fstat(5, 0x7ffee0c5b940)                                                                                                                                                      = 0
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b3a0, 6)                                                                                                                                                  = 53
597 [0x7f9b38487403] SYS_mmap(0, 0x3dfa60, 5, 2050)                                                                                                                                                    = 0x7f9b37c85000
597 [0x7f9b384874d7] SYS_mprotect(0x7f9b37e5b000, 2097152, 0)                                                                                                                                          = 0
597 [0x7f9b38487403] SYS_mmap(0x7f9b3805b000, 0x6000, 3, 2066)                                                                                                                                         = 0x7f9b3805b000
597 [0x7f9b38487403] SYS_mmap(0x7f9b38061000, 0x3a60, 3, 50)                                                                                                                                           = 0x7f9b38061000
597 [0x7f9b3848739a] SYS_close(5)                                                                                                                                                                      = 0
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5b360, 18)                                                                                                                                                 = 203
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5ba60, 12)                                                                                                                                                 = 120
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5ba60, 12)                                                                                                                                                 = 119
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5ba60, 12)                                                                                                                                                 = 119
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5ba60, 12)                                                                                                                                                 = 143
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5ba60, 12)                                                                                                                                                 = 147
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5ba60, 12)                                                                                                                                                 = 143
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5ba60, 12)                                                                                                                                                 = 145
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5ba60, 12)                                                                                                                                                 = 138
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5ba60, 12)                                                                                                                                                 = 142
597 [0x7f9b38487403] SYS_mmap(0, 0x3000, 3, 34)                                                                                                                                                        = 0x7f9b3864e000
597 [0x7f9b3846ae38] SYS_arch_prctl(4098, 0x7f9b3864e740, 0x7f9b3864f090, 34)                                                                                                                          = 0
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bc20, 4)                                                                                                                                                  = 47
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bbf0, 6)                                                                                                                                                  = 30
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bbf0, 4)                                                                                                                                                  = 21
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bbf0, 2)                                                                                                                                                  = 7
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bbf0, 2)                                                                                                                                                  = 39
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bbf0, 2)                                                                                                                                                  = 33
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bbf0, 2)                                                                                                                                                  = 32
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bbf0, 2)                                                                                                                                                  = 28
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bbf0, 1)                                                                                                                                                  = 1
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bc20, 2)                                                                                                                                                  = 13
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bbf0, 6)                                                                                                                                                  = 39
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bbf0, 4)                                                                                                                                                  = 21
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bbf0, 2)                                                                                                                                                  = 7
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bbf0, 2)                                                                                                                                                  = 39
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bbf0, 2)                                                                                                                                                  = 33
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bbf0, 2)                                                                                                                                                  = 32
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bbf0, 2)                                                                                                                                                  = 28
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bbf0, 1)                                                                                                                                                  = 1
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bbf0, 4)                                                                                                                                                  = 21
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bbf0, 2)                                                                                                                                                  = 16
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bbf0, 1)                                                                                                                                                  = 1
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bc20, 2)                                                                                                                                                  = 13
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bbf0, 6)                                                                                                                                                  = 62
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bbf0, 4)                                                                                                                                                  = 21
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bbf0, 2)                                                                                                                                                  = 7
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bbf0, 2)                                                                                                                                                  = 39
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bbf0, 2)                                                                                                                                                  = 33
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bbf0, 2)                                                                                                                                                  = 32
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bbf0, 2)                                                                                                                                                  = 28
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bbf0, 1)                                                                                                                                                  = 1
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bc20, 2)                                                                                                                                                  = 13
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bbf0, 6)                                                                                                                                                  = 56
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bbf0, 4)                                                                                                                                                  = 21
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bbf0, 2)                                                                                                                                                  = 7
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bbf0, 2)                                                                                                                                                  = 39
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bbf0, 2)                                                                                                                                                  = 33
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bbf0, 2)                                                                                                                                                  = 32
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bbf0, 2)                                                                                                                                                  = 28
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bbf0, 1)                                                                                                                                                  = 1
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bc20, 2)                                                                                                                                                  = 13
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bbf0, 6)                                                                                                                                                  = 55
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bbf0, 4)                                                                                                                                                  = 21
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bbf0, 2)                                                                                                                                                  = 7
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bbf0, 2)                                                                                                                                                  = 39
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bbf0, 2)                                                                                                                                                  = 33
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bbf0, 2)                                                                                                                                                  = 32
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bbf0, 2)                                                                                                                                                  = 28
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bbf0, 1)                                                                                                                                                  = 1
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bc20, 2)                                                                                                                                                  = 13
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bbf0, 6)                                                                                                                                                  = 51
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
597 [0x7f9b3847b818] SYS_writev(4, 0x7ffee0c5bbf0, 2)                                                                                                                                                  = 22
597 [0x7f9b38487567] SYS_getpid()                                                                                                                                                                      = 597
